Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
78568,LJ65DOH,Johnson CX200 Small Sweeper,Diesel,1450,0,Hours,0
78569,LJ65FWU         ,  Small Sweeper,Diesel,11254,6816,Miles,5.38
78570,LJ65FWV         ,  Small Sweeper,Diesel,22729,4862,Miles,4.33
78571,LJ65FWW         ,  Small Sweeper,Diesel,29927,2763,Miles,6.09
78572,LJ65FWX         ,  Small Sweeper,Diesel,23813,5268,Miles,3.77
78573,LJ65FWY         ,  Small Sweeper,Diesel,20561,3287,Miles,3.19
78574,LJ65DPO         ,  Small Sweeper,Diesel,28548,4033,Miles,4.33
78575,LJ65FWZ         ,  Small Sweeper,Diesel,22090,5901,Miles,4.41
78576,LJ65FXA         ,  Small Sweeper,Diesel,33210,6513,Miles,3.83
78578,LJ65FXC         ,  Small Sweeper,Diesel,37376,10179,Miles,5.77
78579,LJ65DPN         ,  Small Sweeper,Diesel,27310,7305,Miles,4.14
78804,R804CUB,Iveco Ford CargoML150E Dside Flatback over 7.5t,Diesel,0,0,Miles,0
78967,YF07LSY,Ford Connect T220SWB van Van Small,Diesel,65163,0,Miles,0
84600,533KTT,Daf CF Gully Tank,Diesel,48653,3757,Kilometres,5.6
86901,86901,Volvo L45H Loading Shovel Loading Shovel,Gasoil,2327,530,Miles,0.85
86902,EU66CWJ,Volvo L45H Loading Shovel Loading Shovel,Gasoil,2117,788,Miles,0.85
86903,EU66CWK,Volvo L45H Loading Shovel Loading Shovel,Gasoil,1403,326,Miles,0.65
86914,86914,Volvo EW160 Waste Compactor,Gasoil,0,0,Hours,0
86915,86915,Volvo L110 Loading Shovel,Gasoil,76560,-1924975,Hours,0
86920,86920,Linde H30 Forklift Truck,Gasoil,8,-827,Hours,0
880101,YA10HUV,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,48409,4495,Miles,41.62
880102,YH60OYD,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,69100,3790,Miles,44.02
880103,YH60OUY,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,77629,8359,Miles,51.62
880104,YH60OYB,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,43030,3706,Miles,43.66
880105,YA10HVO,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,56990,2298,Miles,40.61
880739,YE59YVZ,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,60377,6457,Miles,53.46
880741,YF59YLS,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,42743,5467,Miles,49.03
880749,YD56VMA,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,63675,1358,Miles,32.76
880752,YG56KLV,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,63176,682,Miles,30.39
880755,YG56VUT,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,50312,839,Miles,34.11
880928,YG06COU,Ford Connect T200SWB van Van Small,Diesel,70504,964,Miles,26.54
880945,YA07ZVX,Ford Connect T230LWB van Van Small,Diesel,67562,7705,Miles,41.99
880953,YC07ORX,Ford Connect T220SWB van Van Small,Diesel,113448,11049,Miles,31.57
880954,YF07GJV,Ford Connect T220SWB van Van Small,Diesel,89711,0,Miles,0
880980,YF07GFU,Ford Connect T220SWB van Van Small,Diesel,105330,3429,Miles,29.15
880993,YF57PJU,Ford Connect T230LWB van Van Small,Diesel,76033,1273,Miles,32.84
881103,YK58UDH,Ford Connect T230LWB van Van Small,Diesel,72550,0,Miles,0
881106,YK58UDO,Ford Connect T230LWB van Van Small,Diesel,91350,4998,Miles,27.56
881108,YK58UDD,Ford Connect T230LWB van Van Small,Diesel,86223,6762,Miles,31.46
881111,YK09KDN,Ford Connect T220SWB van Van Small,Diesel,81221,3758,Miles,37.04
881113,YF59YJP,Ford Connect T220SWB van Van Small,Diesel,51684,0,Miles,0
881114,YH60OXC,Ford Connect T230LWB van Van Small,Diesel,98830,1948,Miles,29.03
881951,YA07XMB,Ford Transit 350L DS T/L Flatback to 3.5t,Diesel,67305,919,Miles,13.69
